name,url,description,language,stars,forks,created_at,updated_at,size_kb,is_private,default_branch,ai_commit_sha,ai_commit_message,ai_commit_date,ai_marker_count,ai_confidence,ai_signals,total_commits_analyzed,ai_commits_found,ai_commit_ratio,ai_confidence_level,ai_commits,likely_ai_assisted,collected_at,search_query,domain,repo_id,ai_td_score,complexity_score,duplication_score,documentation_score,error_handling_score,severity
opensource/copilot-utils,https://github.com/opensource/copilot-utils,AI-powered JavaScript data-science toolkit,JavaScript,88,34,2024-03-26T17:36:28.877220Z,2025-10-10T17:36:28.877220Z,48641,False,main,7db2cb,update examples - co-authored-by: github copilot,2025-10-04T17:36:28.877220Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",483,13,0.218,Medium,[],True,2026-03-03T17:36:28.877231,sample_dataset,data-science,11,0.4768,0.3498,0.5399,0.7391,0.6438,MEDIUM
researchgroup/copilot-client,https://github.com/researchgroup/copilot-client,Machine learning Jupyter Notebook library for web-development,Jupyter Notebook,701,193,2023-07-10T17:36:28.876994Z,2025-12-09T17:36:28.876994Z,20456,False,main,405f7f,implement utils - ai-assisted,2025-11-12T17:36:28.876994Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",218,115,0.2903,Medium,[],True,2026-03-03T17:36:28.877016,sample_dataset,web-development,1,0.5168,0.3898,0.7544,0.8158,0.8077,MEDIUM
researchgroup/platform-server,https://github.com/researchgroup/platform-server,Comprehensive TypeScript framework for web-development,TypeScript,97,5,2024-07-20T17:36:28.877601Z,2024-11-29T17:36:28.877601Z,9727,False,main,,,,0,None,[],120,0,0.0,None,[],False,2026-03-03T17:36:28.877609,sample_dataset,web-development,29,0.3115,0.2511,0.0144,0.1674,0.2035,MEDIUM
startup/libserver,https://github.com/startup/libserver,Lightweight Jupyter Notebook devops-tools utilities,Jupyter Notebook,354,15,2023-05-27T17:36:28.877496Z,2024-07-08T17:36:28.877496Z,38322,False,main,,,,0,None,[],173,0,0.0,None,[],False,2026-03-03T17:36:28.877504,sample_dataset,devops-tools,21,0.2567,0.2252,0.0773,0.216,0.4935,LOW
techcorp/copilot-framework,https://github.com/techcorp/copilot-framework,Automated Jupyter Notebook web-development solution,Jupyter Notebook,281,67,2023-10-29T17:36:28.877025Z,2024-04-16T17:36:28.877025Z,44337,False,main,553393,update tests - co-authored-by: github copilot,2024-03-26T17:36:28.877025Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",173,89,0.1997,Medium,[],True,2026-03-03T17:36:28.877043,sample_dataset,web-development,2,0.4969,0.2134,0.7858,0.6826,0.6006,MEDIUM
opensource/generator-lib,https://github.com/opensource/generator-lib,Production-ready JavaScript mobile-apps solution,JavaScript,845,378,2025-01-21T17:36:28.877615Z,2025-11-20T17:36:28.877615Z,24820,False,main,,,,0,None,[],420,0,0.0,None,[],False,2026-03-03T17:36:28.877621,sample_dataset,mobile-apps,30,0.275,0.1013,0.1858,0.2705,0.4236,LOW
techcorp/engine-core,https://github.com/techcorp/engine-core,Comprehensive TypeScript framework for web-development,TypeScript,664,284,2024-03-17T17:36:28.877689Z,2024-07-21T17:36:28.877689Z,34746,False,main,,,,0,None,[],77,0,0.0,None,[],False,2026-03-03T17:36:28.877696,sample_dataset,web-development,36,0.262,0.2675,0.0413,0.018,0.3285,LOW
datalab/copilot-server,https://github.com/datalab/copilot-server,Machine learning TypeScript library for web-development,TypeScript,534,263,2023-11-17T17:36:28.877053Z,2024-01-10T17:36:28.877053Z,47945,False,main,734b70,add function - generated by copilot,2023-12-20T17:36:28.877053Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",168,45,0.1141,Medium,[],True,2026-03-03T17:36:28.877070,sample_dataset,web-development,3,0.4041,0.3918,0.3882,0.5483,0.6807,MEDIUM
opensource/libclient,https://github.com/opensource/libclient,Comprehensive JavaScript framework for mobile-apps,JavaScript,138,2,2025-01-24T17:36:28.877677Z,2025-10-05T17:36:28.877677Z,27893,False,main,,,,0,None,[],435,0,0.0,None,[],False,2026-03-03T17:36:28.877683,sample_dataset,mobile-apps,35,0.222,0.2204,0.1034,0.0007,0.4805,LOW
devteam/framework,https://github.com/devteam/framework,Lightweight Python devops-tools utilities,Python,857,223,2023-04-30T17:36:28.877524Z,2023-08-15T17:36:28.877524Z,49518,False,main,,,,0,None,[],147,0,0.0,None,[],False,2026-03-03T17:36:28.877531,sample_dataset,devops-tools,23,0.31,0.217,0.1263,0.2186,0.3215,MEDIUM
devteam/app-server,https://github.com/devteam/app-server,Comprehensive Python framework for web-development,Python,698,231,2024-01-20T17:36:28.877639Z,2025-06-04T17:36:28.877639Z,18218,False,main,,,,0,None,[],429,0,0.0,None,[],False,2026-03-03T17:36:28.877648,sample_dataset,web-development,32,0.3172,0.2001,0.1692,0.1561,0.2653,MEDIUM
startup/copilot-api,https://github.com/startup/copilot-api,AI-powered Jupyter Notebook web-development toolkit,Jupyter Notebook,747,238,2024-09-05T17:36:28.877202Z,2025-06-05T17:36:28.877202Z,48486,False,main,5c764d,implement parser - ai-assisted,2025-05-24T17:36:28.877202Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",371,67,0.1872,Medium,[],True,2026-03-03T17:36:28.877214,sample_dataset,web-development,10,0.4893,0.3575,0.6411,0.6797,0.6568,MEDIUM
techcorp/kernel-core,https://github.com/techcorp/kernel-core,Comprehensive TypeScript framework for data-science,TypeScript,399,21,2023-05-05T17:36:28.877512Z,2024-11-13T17:36:28.877512Z,39882,False,main,,,,0,None,[],251,0,0.0,None,[],False,2026-03-03T17:36:28.877519,sample_dataset,data-science,22,0.2117,0.1973,0.157,0.0538,0.59,LOW
researchgroup/copilot-utils,https://github.com/researchgroup/copilot-utils,Automated TypeScript mobile-apps solution,TypeScript,231,92,2023-10-13T17:36:28.877335Z,2026-02-14T17:36:28.877335Z,32375,False,main,15ffab,fix issue - generated by chatgpt,2026-01-16T17:36:28.877335Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",499,30,0.1142,Medium,[],True,2026-03-03T17:36:28.877346,sample_dataset,mobile-apps,18,0.4185,0.4728,0.4241,0.5437,0.7524,MEDIUM
datalab/generator-lib,https://github.com/datalab/generator-lib,Python devops-tools library and toolkit,Python,390,125,2024-03-15T17:36:28.877462Z,2024-11-14T17:36:28.877462Z,38931,False,main,,,,0,None,[],69,0,0.0,None,[],False,2026-03-03T17:36:28.877484,sample_dataset,devops-tools,20,0.3109,0.3499,0.0566,0.3128,0.4832,MEDIUM
startup/smart-runtime,https://github.com/startup/smart-runtime,Automated Jupyter Notebook devops-tools solution,Jupyter Notebook,40,3,2024-10-28T17:36:28.877150Z,2025-02-21T17:36:28.877150Z,37740,False,main,865df5,fix bug - generated by chatgpt,2025-02-18T17:36:28.877150Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",215,6,0.0645,Medium,[],True,2026-03-03T17:36:28.877161,sample_dataset,devops-tools,7,0.4308,0.2056,0.4281,0.8403,0.6238,MEDIUM
startup/generated-system,https://github.com/startup/generated-system,Automated Python mobile-apps solution,Python,490,26,2023-06-06T17:36:28.877269Z,2026-01-03T17:36:28.877269Z,26863,False,main,14f62c,fix error - generated by chatgpt,2025-12-27T17:36:28.877269Z,1,Medium,"[""generated\\s+by\\s+(copilot|chatgpt|gpt-?4|claude|ai|llm)""]",99,21,0.2146,Medium,[],True,2026-03-03T17:36:28.877281,sample_dataset,mobile-apps,14,0.3895,0.2994,0.3955,0.5517,0.6383,MEDIUM
datalab/libframework,https://github.com/datalab/libframework,Lightweight TypeScript devops-tools utilities,TypeScript,737,277,2023-07-19T17:36:28.877588Z,2024-05-10T17:36:28.877588Z,25931,False,main,,,,0,None,[],479,0,0.0,None,[],False,2026-03-03T17:36:28.877594,sample_dataset,devops-tools,28,0.2986,0.269,0.2631,0.2179,0.5659,LOW
opensource/service-server,https://github.com/opensource/service-server,Production-ready TypeScript devops-tools solution,TypeScript,601,236,2023-12-21T17:36:28.877713Z,2026-01-14T17:36:28.877713Z,41888,False,main,,,,0,None,[],59,0,0.0,None,[],False,2026-03-03T17:36:28.877720,sample_dataset,devops-tools,38,0.2673,0.1676,0.2099,0.2594,0.5494,LOW
